binary,log_path,io_rw,io_meta,net_total,net_ipv4,net_ipv6,net_unix,mem_mgmt,process_create,execve,priv_ctrl,errno_total,errno_perm,errno_enoent,touch_sensitive,w_x_transition,uses_unlink,duration,rate_cps,err_rate,net_ratio
cntraining.strace,strace_logs/cntraining.strace.log,32.0,89.0,0.0,0.0,0.0,0.0,166.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.060044050216674805,4797.478567996728,0.0,0.0
col.strace,strace_logs/col.strace.log,6.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03504800796508789,1170.823975184011,0.0,0.0
colcrt.strace,strace_logs/colcrt.strace.log,6.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009401798248291016,4361.867880509205,0.0,0.0
colrm.strace,strace_logs/colrm.strace.log,6.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02640700340270996,1553.6184237849745,0.0,0.0
column.strace,strace_logs/column.strace.log,7.0,19.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011514902114868164,4430.043294614572,0.0,0.0
combine_lang_model.strace,strace_logs/combine_lang_model.strace.log,33.0,92.0,0.0,0.0,0.0,0.0,171.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049421072006225586,6010.582308586646,0.0,0.0
combine_tessdata.strace,strace_logs/combine_tessdata.strace.log,32.0,89.0,0.0,0.0,0.0,0.0,165.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04627108573913574,6203.577601442741,0.0,0.0
comm.strace,strace_logs/comm.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01063680648803711,4513.6326265297885,0.0,0.0
cp.strace,strace_logs/cp.strace.log,17.0,36.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020509004592895508,4584.352623196662,0.0,0.0
cpack.strace,strace_logs/cpack.strace.log,113.0,284.0,0.0,0.0,0.0,0.0,347.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3283970355987549,2272.640481284626,0.0,0.0
csplit.strace,strace_logs/csplit.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012791872024536133,3753.3827558570815,0.0,0.0
ctest.strace,strace_logs/ctest.strace.log,52.0,160.0,0.0,0.0,0.0,0.0,282.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.20869684219360352,2372.8614752244275,0.0,0.0
curl.strace,strace_logs/curl.strace.log,107.0,119.0,4.0,0.0,0.0,4.0,192.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1782841682434082,2396.0528204895036,0.0,0.032520325203252036
cut.strace,strace_logs/cut.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011381149291992188,4218.500251382604,0.0,0.0
